campaign_id,total_impressions,total_clicks,total_spend,total_conversions,CTR,CPA
CMP016,13686317849,375883156,393677129.8599991,20410131,0.027464155088833053,19.288319602652187
CMP049,13678441909,375790166,393822976.90000063,20408613,0.027473170445878155,19.296900622301017
CMP032,13707961325,376277379,395003523.03999925,20469062,0.027449550671970545,19.297587893377784
CMP034,13663387190,375490759,394029600.31999946,20403716,0.027481528099768355,19.311658735104892
CMP040,13707493063,376364561,395064372.66000134,20444877,0.0274568485477409,19.323391999863894
CMP004,13705584584,376906722,395992597.40000093,20491770,0.027500229537089842,19.324470136059546
CMP047,13704337167,376533784,395185526.76999867,20447393,0.027475519568118344,19.32693946705082
CMP045,13689842314,376256850,394756303.7299998,20424317,0.027484381585258923,19.327760322658513
CMP022,13703365735,377109904,395899684.63999957,20480486,0.02751950953456764,19.330580565324453
CMP024,13665607452,375614418,394482754.56000036,20406008,0.027486112075100457,19.331696555249824
